fips,ps_wtotl,do_psdel,state,cluster_model1,color
23029,1.57,0.58,ME,4,red
13191,1.04,0.94,GA,4,red
13179,6.42,3.18,GA,36,red
9003,59.22,25.29,CT,35,purple
9013,4.93,3.83,CT,36,red
9015,7.71,2.5,CT,36,red
25019,2.0,0.79,MA,4,red
24023,2.74,1.17,MD,4,red
50027,3.1,1.51,VT,36,red
33019,2.71,1.47,NH,4,red
33001,3.12,1.59,NH,36,red
33005,4.12,2.12,NH,36,red
33017,8.0,5.17,NH,23,red
36123,1.1,1.06,NY,4,red
36003,3.12,2.09,NY,36,red
36007,18.73,10.7,NY,16,red
36009,9.45,3.7,NY,26,red
36015,8.37,3.55,NY,26,red
36017,2.22,2.13,NY,36,red
36023,3.8,2.85,NY,36,red
36025,405.54,2.34,NY,7,green
36037,3.74,3.06,NY,36,red
36041,0.75,0.19,NY,4,red
36049,1.81,1.3,NY,4,red
36051,3.78,3.81,NY,36,red
36053,1.22,4.02,NY,36,red
36057,2.61,2.48,NY,36,red
36067,58.04,16.5,NY,45,red
36069,46.53,6.75,NY,25,red
36071,33.04,20.81,NY,11,red
36077,3.1,2.98,NY,36,red
36079,2.82,1.85,NY,36,red
36087,33.18,22.65,NY,11,red
36095,173.82,1.38,NY,28,purple
36097,0.83,0.79,NY,4,red
36099,4.41,1.93,NY,36,red
36101,7.5,4.89,NY,23,red
36105,89.77,3.34,NY,8,red
36107,3.45,2.33,NY,36,red
36109,7.87,7.13,NY,23,red
36121,3.26,1.86,NY,36,red
42001,12.39,2.5,PA,26,red
42003,178.17,63.65,PA,33,purple
42005,6.65,2.15,PA,36,red
42007,22.14,7.65,PA,16,red
42009,9.99,1.0,PA,36,red
42013,13.07,5.68,PA,26,red
42015,3.02,1.62,PA,36,red
42019,7.66,6.48,PA,23,red
42021,14.93,5.98,PA,26,red
42023,0.34,0.17,PA,4,red
42031,2.73,0.86,PA,4,red
42033,5.84,2.73,PA,36,red
42037,5.02,1.74,PA,36,red
42039,5.67,2.14,PA,36,red
42041,13.36,8.65,PA,16,red
42043,31.47,12.64,PA,46,red
42047,5.32,1.86,PA,36,red
42053,0.41,0.07,PA,4,red
42055,8.47,5.41,PA,23,red
42057,0.37,0.16,PA,4,red
42059,7.19,1.34,PA,36,red
42061,2.85,1.19,PA,4,red
42063,4.11,2.29,PA,36,red
42065,2.14,1.09,PA,4,red
42067,0.82,0.39,PA,4,red
42069,38.7,8.02,PA,25,red
42071,54.45,15.41,PA,45,red
42073,10.07,2.89,PA,26,red
42075,3.55,4.22,PA,36,red
42079,22.82,14.81,PA,29,red
42083,6.77,1.72,PA,36,red
42085,13.74,3.31,PA,26,red
42087,2.69,1.32,PA,4,red
42093,0.03,0.66,PA,4,red
42099,0.71,0.8,PA,4,red
42103,3.05,1.6,PA,36,red
42105,0.91,0.36,PA,4,red
42107,23.38,6.01,PA,16,red
42109,1.6,1.03,PA,4,red
42111,22.61,2.2,PA,26,red
42113,0.65,0.05,PA,4,red
42115,1.41,0.57,PA,4,red
42117,2.03,0.81,PA,4,red
42119,2.87,0.78,PA,4,red
42121,4.68,2.49,PA,36,red
42123,3.07,0.99,PA,4,red
42125,39.71,8.79,PA,46,red
42131,0.66,0.46,PA,4,red
42133,34.82,14.88,PA,46,red
44005,7.2,3.07,RI,36,red
51141,0.29,0.13,VA,4,red
51143,1.62,1.34,VA,4,red
51155,4.39,2.14,VA,36,red
51161,25.13,6.89,VA,16,red
51163,1.74,0.51,VA,4,red
51167,1.18,1.44,VA,4,red
51169,1.12,1.26,VA,4,red
51173,2.19,1.91,VA,4,red
51185,3.79,2.7,VA,36,red
51191,11.77,3.92,VA,26,red
51195,4.9,3.1,VA,36,red
51197,4.35,1.4,VA,36,red
51005,0.91,1.01,VA,4,red
51035,1.7,1.1,VA,4,red
51031,4.46,2.33,VA,36,red
51089,2.86,2.45,VA,36,red
51121,6.92,5.68,VA,23,red
51083,2.1,0.86,VA,4,red
51077,0.11,0.24,VA,4,red
51071,1.12,0.82,VA,4,red
51067,1.76,1.3,VA,4,red
51063,0.11,0.19,VA,4,red
51051,4.96,1.09,VA,36,red
51045,0.0,0.1,VA,4,red
51037,0.24,0.28,VA,4,red
51029,0.36,0.48,VA,4,red
51027,0.0,1.59,VA,4,red
51023,5.46,0.93,VA,36,red
51021,0.04,0.18,VA,4,red
51019,1.54,2.54,VA,36,red
51017,0.29,0.32,VA,4,red
51011,0.0,0.16,VA,4,red
51009,12.03,1.5,VA,26,red
51105,2.34,1.62,VA,4,red
50015,1.29,0.5,VT,4,red
50017,2.16,0.53,VT,4,red
50003,3.3,1.17,VT,36,red
50019,1.63,0.59,VT,4,red
50023,1.85,1.56,VT,4,red
50013,0.5,0.2,VT,4,red
54081,9.89,6.05,WV,26,red
54079,2.61,3.89,WV,36,red
54077,2.21,1.91,WV,4,red
54075,0.38,0.24,WV,4,red
54073,0.57,0.38,WV,4,red
54069,7.7,3.92,WV,23,red
54067,2.78,1.91,WV,36,red
54063,0.49,0.52,WV,4,red
54061,10.87,8.03,WV,26,red
54059,4.02,1.47,WV,36,red
54055,3.58,3.5,WV,36,red
54053,2.33,1.4,WV,4,red
54051,4.67,3.59,WV,36,red
54049,8.21,4.8,WV,23,red
54047,2.9,1.32,WV,4,red
54045,4.29,1.62,WV,36,red
54043,0.3,0.34,WV,4,red
54039,32.16,14.02,WV,46,red
54035,1.81,1.46,WV,4,red
54029,1.46,3.39,WV,36,red
54025,3.42,1.72,WV,36,red
54083,2.75,1.55,WV,36,red
54021,0.64,0.3,WV,4,red
54019,5.37,3.01,WV,36,red
54015,0.4,0.28,WV,4,red
54013,0.32,0.26,WV,4,red
54011,12.17,6.41,WV,26,red
54009,5.21,1.75,WV,36,red
54007,1.09,0.7,WV,4,red
54005,0.19,1.19,WV,4,red
54103,1.78,0.98,WV,4,red
54105,0.0,0.1,WV,4,red
54107,7.97,6.67,WV,23,red
54109,1.82,1.21,WV,4,red
54001,1.45,1.1,WV,4,red
54091,1.82,1.1,WV,4,red
54101,0.49,0.45,WV,4,red
54099,2.91,2.57,WV,36,red
54097,2.11,1.34,WV,4,red
54095,0.57,0.56,WV,4,red
54093,0.61,0.3,WV,4,red
54089,2.49,0.53,WV,4,red
54087,0.85,0.67,WV,4,red
54085,0.48,0.49,WV,4,red
42097,11.05,3.88,PA,26,red
23001,7.92,3.45,ME,36,red
34017,0.0,53.91,NJ,14,red
36085,0.0,32.74,NY,37,red
34013,31.22,63.44,NJ,30,purple
36085,0.0,32.74,NY,37,red
34017,0.0,53.91,NJ,14,red
34003,127.42,73.0,NJ,12,purple
36119,65.43,70.01,NY,49,purple
36005,0.0,93.15,NY,18,purple
36061,0.0,126.63,NY,43,purple
36005,0.0,93.15,NY,18,purple
44001,0.01,2.31,RI,4,red
25007,3.07,0.82,MA,4,red
36063,49.46,8.42,NY,45,red
36117,7.84,5.15,NY,23,red
36075,34.87,6.17,NY,25,red
36073,1.64,2.26,NY,4,red
36055,53.54,38.13,NY,35,purple
23013,3.02,0.85,ME,4,red
23023,1.41,0.6,ME,4,red
23015,0.73,0.41,ME,4,red
33013,8.26,4.19,NH,26,red
34039,141.52,44.3,NJ,32,purple
42051,45.89,5.98,PA,25,red
42129,24.18,16.11,PA,29,red
25017,70.26,85.18,MA,39,purple
9009,54.49,20.98,CT,11,red
9005,10.18,3.64,CT,26,red
25027,251.64,34.92,MA,20,purple
25003,14.33,5.94,MA,26,red
25011,3.73,2.28,MA,36,red
25015,18.09,7.16,MA,16,red
25021,35.88,38.51,MA,35,purple
23021,0.88,0.3,ME,4,red
23025,1.82,0.73,ME,4,red
23003,4.11,1.16,ME,36,red
23017,2.85,1.02,ME,4,red
23019,4.79,3.49,ME,36,red
33003,3.45,1.74,NH,36,red
33011,38.74,18.16,NH,46,red
34031,270.78,37.64,NJ,20,purple
36119,65.43,70.01,NY,49,purple
36115,2.59,2.31,NY,36,red
36113,11.56,3.86,NY,26,red
36035,5.46,2.82,NY,36,red
36031,5.45,2.54,NY,36,red
36019,4.93,4.03,NY,36,red
36033,3.83,2.85,NY,36,red
36011,5.43,4.58,NY,23,red
36065,32.82,9.6,NY,46,red
36043,28.84,3.65,NY,25,red
36093,23.51,11.23,NY,16,red
36001,45.78,20.08,NY,11,red
36039,3.07,1.96,NY,36,red
36111,394.23,7.95,NY,7,green
36027,18.97,11.29,NY,16,red
36021,2.97,2.87,NY,36,red
36083,21.61,7.09,NY,16,red
36091,26.12,12.01,NY,29,red
36089,6.95,5.18,NY,23,red
42027,17.87,10.77,PA,16,red
42081,8.78,4.17,PA,26,red
42127,2.38,1.17,PA,4,red
42049,33.34,11.89,PA,46,red
42035,4.02,1.53,PA,36,red
44007,80.06,33.17,RI,24,purple
44009,9.15,5.58,RI,26,red
50007,13.89,5.37,VT,26,red
50001,3.45,0.6,VT,4,red
50021,4.37,1.63,VT,36,red
50025,2.1,0.83,VT,4,red
50011,3.0,1.21,VT,4,red
25009,77.15,41.92,MA,48,purple
25023,68.09,26.76,MA,24,purple
25013,45.38,25.57,MA,11,red
44003,1.04,11.87,RI,0,red
33015,15.35,10.58,NH,16,red
34039,141.52,44.3,NJ,32,purple
23031,15.33,7.2,ME,16,red
23005,25.35,11.25,ME,16,red
23007,1.36,0.68,ME,4,red
34003,127.42,73.0,NJ,12,purple
9011,8.11,6.61,CT,23,red
25025,0.0,32.68,MA,37,red
23027,0.99,0.37,ME,4,red
23009,6.69,0.69,ME,36,red
36059,194.47,102.1,NY,38,purple
34013,31.22,63.44,NJ,30,purple
25001,31.84,14.95,MA,46,red
23011,6.15,2.73,ME,36,red
9007,7.31,3.16,CT,36,red
9001,87.98,29.98,CT,24,purple
33007,4.2,1.29,NH,36,red
50005,1.77,0.65,VT,4,red
21151,11.42,5.71,KY,26,red
21153,0.78,0.68,KY,4,red
21155,4.13,1.29,KY,36,red
21157,4.1,1.89,KY,36,red
21159,4.45,0.67,KY,36,red
21161,2.73,1.05,KY,4,red
21163,0.75,1.19,KY,4,red
21165,1.08,0.31,KY,4,red
21167,2.94,1.41,KY,36,red
21169,0.0,0.52,KY,4,red
21171,1.41,0.74,KY,4,red
21173,3.0,1.84,KY,36,red
21175,1.0,0.43,KY,4,red
21177,3.47,2.0,KY,36,red
21179,5.5,2.92,KY,36,red
21181,1.71,0.46,KY,4,red
21183,2.62,1.56,KY,4,red
21185,3.93,4.22,KY,36,red
21187,0.0,0.64,KY,4,red
21189,0.53,0.24,KY,4,red
21191,0.97,0.8,KY,4,red
21193,4.18,1.53,KY,36,red
21195,6.09,3.01,KY,36,red
21197,1.45,0.65,KY,4,red
21199,7.56,4.0,KY,23,red
21201,0.0,0.11,KY,4,red
21203,1.95,1.13,KY,4,red
21205,6.03,1.47,KY,36,red
21207,2.01,0.97,KY,4,red
21209,2.89,3.36,KY,36,red
21211,2.93,2.97,KY,36,red
21213,1.65,1.22,KY,4,red
21215,0.0,1.16,KY,4,red
21217,5.2,1.55,KY,36,red
21219,0.0,0.87,KY,4,red
21221,2.09,0.95,KY,4,red
21223,2.75,0.55,KY,4,red
21225,1.87,0.95,KY,4,red
21227,17.47,8.5,KY,16,red
21229,1.17,0.55,KY,4,red
21231,2.76,1.13,KY,4,red
21233,2.02,0.81,KY,4,red
21235,4.84,2.03,KY,36,red
21237,0.47,0.24,KY,4,red
21239,3.12,1.71,KY,36,red
21129,0.95,0.39,KY,4,red
21075,1.18,0.42,KY,4,red
21001,0.0,1.23,KY,4,red
21003,0.95,1.18,KY,4,red
21005,2.21,1.22,KY,4,red
21007,0.58,0.32,KY,4,red
21009,7.76,2.71,KY,36,red
21011,0.0,0.69,KY,4,red
21013,3.83,1.5,KY,36,red
21015,0.04,7.13,KY,23,red
21017,2.1,1.22,KY,4,red
21019,11.09,3.29,KY,26,red
21021,5.58,1.97,KY,36,red
21023,0.65,0.48,KY,4,red
21025,1.41,0.58,KY,4,red
21027,1.8,0.75,KY,4,red
21029,0.0,4.45,KY,36,red
21031,1.21,0.82,KY,4,red
21033,0.0,0.8,KY,4,red
21035,3.47,2.17,KY,36,red
21037,26.34,6.14,KY,25,red
21039,0.14,0.16,KY,4,red
21041,1.87,0.69,KY,4,red
21043,4.09,1.76,KY,36,red
21045,1.01,0.79,KY,4,red
21047,12.19,4.53,KY,26,red
21049,6.9,2.49,KY,36,red
21051,5.2,1.2,KY,36,red
21107,9.63,3.1,KY,26,red
21055,0.47,0.55,KY,4,red
21057,0.63,0.46,KY,4,red
21059,13.36,6.67,KY,26,red
21061,1.67,0.81,KY,4,red
21063,0.19,0.25,KY,4,red
21065,1.31,0.83,KY,4,red
21067,35.21,21.9,KY,11,red
21069,0.21,0.83,KY,4,red
21071,4.52,2.18,KY,36,red
21073,16.1,3.39,KY,26,red
21077,0.6,0.55,KY,4,red
21079,1.43,1.09,KY,4,red
21081,1.7,1.46,KY,4,red
21083,2.62,1.99,KY,36,red
21085,2.64,1.54,KY,4,red
21087,0.84,0.76,KY,4,red
21089,3.8,2.24,KY,36,red
21091,0.53,0.46,KY,4,red
21093,14.33,6.93,KY,26,red
21095,3.4,1.39,KY,36,red
21097,2.78,1.21,KY,4,red
21105,0.13,0.18,KY,4,red
21103,0.0,0.98,KY,4,red
21101,8.68,2.95,KY,26,red
21099,4.1,1.24,KY,36,red
21125,8.9,3.88,KY,26,red
21053,3.75,0.65,KY,4,red
26143,0.28,0.15,MI,4,red
26145,0.42,10.6,MI,0,red
26149,3.25,1.89,MI,36,red
26155,2.89,1.85,MI,36,red
26161,18.36,19.23,MI,29,red
28005,1.34,0.73,MS,4,red
28007,2.24,1.66,MS,4,red
28009,0.49,0.35,MS,4,red
28001,4.92,3.02,MS,36,red
28161,2.22,1.24,MS,4,red
28159,2.0,1.79,MS,4,red
28157,1.02,0.86,MS,4,red
28155,1.4,0.93,MS,4,red
28153,2.62,1.88,MS,36,red
28151,11.55,4.47,MS,26,red
28149,7.99,3.92,MS,26,red
28147,2.64,1.43,MS,4,red
28145,2.57,2.24,MS,36,red
28143,3.1,0.44,MS,4,red
28141,2.55,1.86,MS,36,red
28139,2.69,2.09,MS,36,red
28137,1.81,1.4,MS,4,red
28135,1.31,1.13,MS,4,red
28133,3.01,2.47,MS,36,red
28131,1.46,0.92,MS,4,red
28129,1.18,1.03,MS,4,red
28127,3.6,2.68,MS,36,red
28125,0.52,0.43,MS,4,red
28123,8.02,2.79,MS,36,red
28121,17.66,13.81,MS,16,red
28119,0.74,0.73,MS,4,red
28117,3.28,2.5,MS,36,red
28115,3.45,2.77,MS,36,red
28111,1.23,0.96,MS,4,red
28107,3.35,2.73,MS,36,red
28105,7.58,4.14,MS,23,red
28103,1.37,1.0,MS,4,red
28101,2.47,1.88,MS,36,red
28099,4.47,2.32,MS,36,red
28097,1.3,1.01,MS,4,red
28095,3.63,3.5,MS,36,red
28093,2.53,1.27,MS,4,red
28091,3.62,2.19,MS,36,red
19045,3.87,2.6,IA,36,red
19047,2.96,0.93,IA,4,red
19049,1.47,4.94,IA,36,red
19051,0.0,0.21,IA,4,red
19053,0.55,0.46,IA,4,red
19197,1.24,0.65,IA,4,red
19191,1.33,0.77,IA,4,red
19193,13.97,6.13,IA,26,red
